,Ticker,Co_name
379,LUPIN.NS,Lupin Limited
380,INFY.BO,Infosys Limited
381,INDRAMEDCO.BO,Indraprastha Medical Corp. Ltd.
382,CAIRN.NS,Cairn India Limited
383,ZYDUSWELL.BO,Zydus Wellness Limited
384,ZENOTECH.BO,Zenotech Laboratories Limited
385,ZENITHBIR.NS,Zenith Birla (India) Limited
386,YESBANK.NS,Yes Bank Limited
387,YASHPPR.BO,Yash Papers Limited
388,XPROINDIA.NS,Xpro India Limited
389,WIPRO.BO,Wipro Ltd.
390,WELSPSY.BO,AYM Syntex Limited
391,VOLTAS.NS,Voltas Limited
392,VISHMEL.BO,Vishal Malleables Ltd.
393,VISAKAIND.NS,Visaka Industries Limited
394,VARDHCH.BO,Vardhaman Laboratories Ltd.
395,VANTAGE.BO,Vantage Corporate Services Ltd.
396,UTLTD.BO,UT Ltd.
397,USHERAGRO.NS,Usher Agro Limited
398,UNISTRMU.BO,Unistar Multimedia Limited
399,UFO.NS,UFO Moviez India Limited
400,UFLEX.NS,Uflex Limited
401,TV18BRDCST.NS,TV18 Broadcast Limited
402,TRITONV.BO,Triton Valves Ltd
403,TRIGYN.NS,Trigyn Technologies Limited
404,TRICOM.BO,Tricom India Limited
405,TRENT.NS,Trent Limited
406,TIDEWATER.NS,"Tide Water Oil Co. (India), Ltd."
407,TECHM.NS,Tech Mahindra Limited
408,TATAMOTORS.NS,Tata Motors Limited
409,TATACHEM.NS,Tata Chemicals Limited
410,TATACHEM.BO,Tata Chemicals Limited
411,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
412,SUJANAUNI.NS,Sujana Universal Industries Limited
413,SUDIN.BO,Sudev Industries Ltd.
414,SUBROS.NS,Subros
415,STURDY.BO,Sturdy Industries Ltd
416,SPICEISL.BO,Spice Islands Apparels Ltd.
417,SOUTHBANK.NS,The South Indian Bank Limited
418,SOFTSOL.BO,Softsol India Ltd.
419,SKYIND.BO,Sky Industries Limited
420,SKRABUL.BO,Shukra Bullions Ltd.
421,SKFINDIA.NS,SKF India Limited
422,SIMPLEX.BO,Simplex Projects Ltd.
423,SIEMENS.NS,Siemens Limited
424,SHUKUN.BO,SHUKUN CONSTRUCTION LTD.
425,SHREECEM.BO,Shree Cement Limited
426,RMCL.BO,Radha Madhav Corp. Ltd.
427,MUTHTFN.BO,Muthoot Capital Services Ltd.
428,MURLIIND.NS,Murli Industries Ltd.
429,MPHASIS6.BO,MPHASIS6.BO
430,MOSCHIP.BO,MosChip Semiconductor Technology Limited
431,MINDTREE.NS,Mindtree Limited
432,MINDAIND.NS,Minda Industries Limited
433,MEGASOFT.NS,Megasoft Limited
434,MCLEODRUSS.BO,MCLEOD RUSSEL INDIA LTD.
435,MCDOWELL-N.NS,UNITED SPIRITS INR10
436,MAGNUM.NS,Magnum Ventures Limited
437,MAFATIND.BO,Mafatlal Industries Limited
438,SABTN.NS,Sri Adhikari Brothers Television Network Limited
439,RAJTV.BO,Raj Television Network Ltd.
440,PNC.NS,Pritish Nandy Communications Ltd
441,NTPC.NS,NTPC Limited
442,NILE.BO,Nile Ltd.
443,NETTLINX.BO,Nettlinx Ltd
444,NCLIND.NS,NCL Industries Limited
445,NBCC.NS,NBCC (India) Limited
446,NATPEROX.BO,National Peroxide Limited
447,ZNEWSAGA.BO,NEW SAGAR TRADING CO.LTD.
448,UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited
449,SUNTV.BO,Sun TV Network Ltd
450,SRINACHA.BO,Sri Nachammai Cotton Mills Limited
451,SMARTLINK.BO,Smartlink Network Systems Limited
452,RAMANEWS.NS,Shree Rama Newsprint Limited
453,PNC.BO,Pritish Nandy Communications Ltd.
454,NTPC.BO,NTPC Ltd.
455,NPRFIN.BO,Npr Finance Ltd.
456,NOVIS.BO,Nova Iron & Steel Ltd.
457,NNTL.BO,N2N TECHNOLOGIES LIMITED
458,NMDC.NS,NMDC Limited
459,NITINSPIN.BO,Nitin Spinners Ltd.
460,NITCO.BO,Nitco Limited
461,NIRLON.BO,Nirlon Ltd.
462,NIRAJ.BO,Niraj Cement Structurals Ltd
463,NILA.BO,Nila Infrastructures Ltd
464,NIJJER.BO,NIJJER AGRO FOODS LTD.
465,NIITTECH.BO,NIIT Technologies Limited
466,NIITLTD.NS,NIIT Limited
467,NIHARINF.BO,Nihar Info Global Ltd
468,NIDHGRN.BO,Nidhi Granites Limited
469,NHPC.NS,NHPC Limited
470,NGIND.BO,N.G. Industries Limited
471,NFL.BO,National Fertilizers Ltd.
472,NEYVELILIG.BO,Neyveli Lignite Corporation Limited
473,NETWORTH.BO,Monarch Networth Capital Limited
474,NELCO.NS,Nelco Limited
475,NELCAST.NS,Nelcast Limited
476,NELCAST.BO,Nelcast Limited
477,NEELKAN.BO,Neelkanth Rockminerals Ltd.
478,NECCLTD.NS,North Eastern Carrying Corporation Limited
479,NEAGI.BO,Neelamalai Agro Industries Ltd.
480,SAIL.BO,Steel Authority of India Limited
481,CONCOR.NS,Container Corporation of India Limited
482,UNIQUEO.BO,Unique Organics Ltd.
483,UNIONBANK.NS,Union Bank of India
484,TINPLATE.BO,The Tinplate Company Of India Limited
485,STOREONE.NS,SORIL Infra Resources Limited
486,STOREONE.BO,Store One Retail India Ltd
487,SCI.BO,The Shipping Corporation of India Limited
488,RAJOIL.BO,Raj Oil Mills Limited
489,OXFORDIN.BO,Oxford Industries Ltd
490,OVOBELE.BO,OVOBEL FOODS LTD.
491,OUDHSUG.NS,The Oudh Sugar Mills Limited
492,OSCAR.BO,Oscar Investments Ltd.
493,ORIENTLTD.BO,ORIENT PRESS LTD.
494,ORIENTBELL.BO,ORIENT BELL LIMITED
495,ORGCOAT.BO,Organic Coatings Ltd.
496,ORCHIDCHEM.BO,Orchid Pharma Limited
497,ORBITCORP.NS,Orbit Corporation Limited
498,OMNITECH.BO,Omnitech Infosolutions Limited
499,OMKARCHEM.BO,OMKAR SPECIALITY CHEMICALS LTD
500,OMKAR.BO,Omkar Overseas Ltd
